id	english	chinese	partOfSpeech	note	level	academic	ceecLevel
149	back	贊助、支持；使倒退、後退	verb		初級		1
150	backward	向後地、倒退地；向後的、倒退的、落後的	adv./adj.	adv.= backwards (British English)	初級		2
151	bad	壞的、不好的、劣質的	adj.		初級		1
152	badly	差地、嚴重地；很、非常	adv.		初級		3
153	badminton	羽毛球	noun		初級		2
154	bag	袋子、一袋(的量)	noun		初級		1
155	bake	烘烤	verb		初級		2
156	bakery	麵包店	noun		初級		2
157	balcony	陽台、(劇院的)樓座	noun		初級		2
158	ball	球、球狀物	noun		初級		1
159	balloon	氣球	noun		初級		2
160	banana	香蕉	noun		初級		1
161	band	樂團、樂隊；帶、細繩；(數目、年齡、價格等的)範圍	noun		初級		1
162	bank	銀行；堤、岸	noun		初級		1
163	banker	銀行家、莊家	noun		初級		3
164	bar	條狀物、條紋、欄杆；酒吧、吧檯	noun		初級		
165	bar	障礙；阻擋、禁止	noun/verb		初級		
166	barbecue	烤肉、烤肉架、烤肉聚會；燒烤	noun/verb	= Bar-B-Q = BBQ	初級		2
167	barber	理髮師	noun		初級		2
168	bark	樹皮	noun		初級		2
169	bark	吠叫、咆哮；狗吠聲	verb/noun		初級		2
170	base	(棒球運動中的)壘	noun		初級		2
171	base	以...為據點、將總部設在；基地、基底、基礎	verb/noun		初級		2
172	baseball	棒球	noun		初級		1
173	basement	地下室	noun		初級		3
174	basic	基本的	adj.		初級		2
175	basis	基礎、根據	noun		初級		2
176	basket	籃子、線上購物籃	noun		初級		1
177	basketball	籃球	noun		初級		1
178	bat	蝙蝠	noun		初級		1
179	bat	球棒、球拍；用球棒或球拍擊球	noun/verb		初級		1
180	bath	沐浴、洗澡；(給...)洗澡	noun/verb	動詞=bathe	初級		1
181	bathe	(給...)洗澡、浸泡	verb	=bath	初級		2
182	bathroom	浴室、廁所	noun		初級		1
183	be	是(助動詞)	verb		初級		1
184	beach	海灘、湖濱	noun		初級		1
185	bean	豆子、豆莢，豆科植物	noun		初級		1
186	bear	熊	noun		初級		1
187	bear	承擔、忍受、負荷；具有；生孩子、結果實	verb		初級		1
188	beard	鬍鬚	noun		初級		2
189	beat	跳動聲、擊鼓聲；節拍	noun		初級		2
190	beat	打敗、戰勝；敲打、攪打	verb		初級		2
191	beautiful	美麗的、極好的	adj.		初級		
192	because	因為	conj.	= 'cos = cos = cuz	初級		1
193	become	成為、變得	verb		初級		1
194	bed	床、床位	noun		初級		1
195	bedroom	臥室	noun		初級		1
196	bee	蜜蜂	noun		初級		1
197	beef	牛肉	noun		初級		1
198	beer	啤酒	noun		初級		2
199	before	在…之前、先於；在...以前；曾經、在前	prep./conj./adv.		初級		1
200	begin	開始、以...起頭	verb		初級		1
201	beginner	初學者、新手	noun		初級		2
202	beginning	開端、起點	noun		初級		
203	behave	表現	verb		初級		2
204	behind	在…後面；在背後、在原處、落後於	prep./adv.		初級		1
205	belief	相信、信念、信仰	noun		初級		2
206	believe	相信	verb		初級		1
207	bell	鈴、鐘	noun		初級		1
208	belong	屬於、應在...地方	verb		初級		1
209	below	在...下面、低於	adv./prep.		初級		1
210	belt	腰帶	noun		初級		1
211	bench	長椅	noun		初級		1
212	beside	在...旁邊	prep.		初級		1
213	besides	除…之外；此外、而且	prep./adv.		初級		3
214	best	最、最適當地；最好的、最適當的	adv./adj.		初級		1
215	best	最好的人或事	noun		初級		1
216	best	打敗、戰勝	verb		初級		1
217	better	更、更好地；更好的、好轉的	adv./adj.		初級		2
218	better	更好的事物、更好者	noun		初級		2
219	better	勝過、超過	verb		初級		2
220	between	在…之間	prep.		初級		1
221	beyond	遠於、超出；在更遠處	prep./adv.		初級		2
222	bicycle	腳踏車	noun	= bike	初級		1
223	big	大的、年齡較大的、重大的	adj.		初級		1
224	bill	議案、法案	noun		初級		2
225	bill	鈔票、帳單；開立帳單	noun/verb		初級		2
226	biology	生物學	noun		初級		4
227	bird	鳥	noun		初級		1
228	birthday	生日	noun		初級		
229	bit	稍微、小塊、少量、一點點	noun		初級		2
230	bite	咬、叮	verb/noun		初級		1
231	bitter	有苦味的、(天氣)嚴寒的、怨恨的、令人不快的	adj.		初級		3
232	black	黑色的；黑色	adj./noun		初級		1
233	blackboard	黑板	noun		初級		2
234	blame	責備	verb/noun		初級		2
235	blank	空白的；空白處、空格	adj./noun		初級		2
236	blanket	毛毯、毯子；以厚層覆蓋	noun/verb		初級		2
237	blind	失明的、盲目的；使失明、蒙蔽	adj./verb		初級		1
238	block	街區；大樓；大塊；堵塞物、障礙物	noun		初級		1
239	block	堵塞；阻擋；擋住；妨礙	verb		初級		1
240	blood	血液、血統	noun		初級		2
241	blouse	女襯衫	noun		初級		3
242	blow	吹；吹奏(樂器)；擤(鼻子)；重擊；打擊	noun		初級		1
243	blow	吹；吹奏；擤鼻子；炸毀；爆裂	verb		初級		1
244	blue	悲傷的、憂鬱的	adj.		初級		1
245	blue	藍色的；藍色	adj./noun		初級		1
246	board	木板、牌子、佈告欄、黑板或白板、棋盤	noun		初級		2
247	board	董事會、理事會	noun		初級		2
248	board	上(交通工具)；在船上(或其他交通工具)	verb/noun		初級		2
249	board	寄宿、住校；(住宿處提供的)伙食、膳食	verb/noun		初級		2
250	boat	船	noun		初級		1
251	body	身體、軀幹、屍體	noun		初級		1
252	boil	(水等)沸騰	verb		初級		2
253	bomb	炸彈；投彈於、轟炸	noun/verb		初級		3
254	bone	骨頭	noun		初級		2
255	book	書、簿冊	noun		初級		1
256	book	預訂、預約	verb		初級		1
257	bookcase	書架、書櫃	noun		初級		3
258	bookstore	書店	noun	= bookshop (British English)	初級		2
259	bored	感到無聊的、感到厭煩的	adj.		初級		1
260	boring	無聊的、乏味的	adj.		初級		1
261	born	出生、產生；天生的	verb/adj.		初級		1
262	borrow	借入、借貸	verb		初級		1
263	boss	老闆、上司	noun		初級		1
264	both	兩個、兩者、雙方	adv./adj./pron.		初級		1
265	bother	打擾、使人煩擾；麻煩、令人煩惱的人(或事物)	verb/noun		初級		2
266	bottle	瓶子；把(液體)裝入瓶中	noun/verb		初級		1
267	bottom	套裝的裙或褲	noun		初級		1
268	bottom	底部、屁股；最底下的、最後的；到達底部、降到最低點	noun/adj./verb		初級		1
269	bow	鞠躬、點頭致意	verb/noun		初級		1
270	bowl	碗、缽	noun		初級		1
271	bowling	保齡球運動	noun		初級		3
272	box	箱、盒、方格；把...裝箱	noun/verb		初級		1
273	boy	男孩	noun		初級		1
274	brain	頭腦	noun		初級		2
275	branch	樹枝；支流、岔路；分支機構	noun		初級		2
276	branch	發出新枝；分岔、岔開	verb		初級		2
277	brave	勇敢的	adj.		初級		1
278	bread	麵包	noun		初級		1
279	break	休息時間、課間休息、假期	noun		初級		1
280	break	違反、違背	verb		初級		1
281	break	中止、中斷	verb/noun		初級		1
282	break	打破、弄壞；毀壞、打破、裂縫	verb/noun		初級		1
283	breakfast	早餐	noun		初級		1
284	brick	磚塊	noun		初級		3
285	bridge	橋、橋梁；在...上架橋、縮短差異	noun/verb		初級		1
286	brief	簡短的、短暫的	adj.		初級	L6	2
287	brief	概要、簡報；簡報、向...介紹情況	noun/verb		初級	L6	2
288	bright	明亮的、鮮豔的、快樂的；聰明的	adj.		初級		1
289	bring	帶來、導致	verb		初級		1
290	Britain	英國	noun		初級		
291	broad	寬廣的、廣泛的	adj.		初級		2
292	broadcast	廣播(節目)；廣播	noun/verb		初級		3
293	brother	兄弟	noun		初級		1
294	brown	棕褐色的；棕褐色；(把食物)炒成褐色	adj./noun/verb		初級		1
295	brunch	早午餐	noun		初級		3
296	brush	刷子、畫筆、刷抹；刷、擦掉	noun/verb		初級		2
297	bucket	水桶、提桶	noun	= pail	初級		3
298	buffet	自助餐	noun		初級		3
299	bug	小蟲子；病菌；(電腦程式的)漏洞；竊聽器	noun		初級		1
300	bug	煩擾、使惱怒；裝竊聽器	verb		初級		1
301	build	建造、開闢	verb		初級		1
302	building	建築物、房子	noun		初級		2
303	bun	小圓麵包	noun		初級		2
304	bundle	束、捆	noun		初級		3
305	burn	燃燒、著火、發燒	verb		初級		2
306	burn	燒傷、曬傷、燙傷	verb/noun		初級		2
307	burst	爆炸、迸裂；爆裂、迸發	verb/noun		初級		2
308	bus	公車、大客車	noun		初級		1
309	business	生意、公司、商務活動、職責	noun		初級		1
310	businessperson	商人	noun	=businessman, businesswoman	初級		
311	busy	忙碌的、繁忙的、(電話)佔線的	adj.		初級		1
312	but	只有、僅僅；但是；除…以外	adv./conj./prep.		初級		1
313	butter	奶油；塗奶油於	noun/verb		初級		1
314	butterfly	蝴蝶	noun		初級		1
315	button	鈕扣、按鈕；扣鈕扣	noun/verb		初級		1
316	buy	買；購買、買賣	verb/noun		初級		1
317	by	藉由、被、在旁邊、早於；經過	prep./adv.		初級		1
318	cabbage	甘藍、包心菜、高麗菜	noun		初級		2
319	cabinet	櫥櫃	noun		初級		4
320	cable	電纜、纜繩、有線電視；鋪設電纜	noun/verb		初級		3
321	cafe	咖啡館	noun	= café	初級		2
322	cafeteria	自助餐廳	noun		初級		
323	cage	籠子；關進籠子裡	noun/verb		初級		2
324	cake	蛋糕	noun		初級		1
325	calendar	日曆、曆法、行事曆	noun		初級		2
326	call	給...命名、稱呼、把...視為	verb		初級		1
327	call	呼叫、鳴叫、召喚	verb/noun		初級		1
328	call	打電話；打電話、通話	verb/noun		初級		1
329	calm	冷靜的、平靜的；使冷靜、使鎮靜；寧靜的狀態	adj./verb/noun		初級		2
330	camera	照相機	noun		初級		1
331	camp	營地、兵營、陣營；露營、紮營	noun/verb		初級		1
332	campus	校園、校區	noun		初級		3
333	can	(助動詞)能、會、可以	aux.		初級		1
334	Canada	加拿大	noun		初級		
335	cancel	取消	verb		初級		2
336	cancer	癌症	noun		初級		2
337	candle	蠟燭	noun		初級		2
338	candy	糖果	noun	= sweet (British English)	初級		
339	cap	便帽、蓋；用...覆蓋頂部	noun/verb		初級		1
340	captain	隊長、機長、船長、上尉	noun		初級		3
341	car	汽車、車廂	noun		初級		1
342	card	卡片、紙牌、賀卡	noun		初級		1
343	care	照顧、擔憂、謹慎；照顧、關心、在意	noun/verb		初級		1
344	career	職業、生涯	noun		初級		3
345	careful	小心的、仔細的	adj.		初級		1
346	careless	粗心的、不小心的	adj.		初級		
347	carpet	地毯；用地毯鋪地	noun/verb		初級		3
348	carrot	胡蘿蔔	noun		初級		1
349	carry	背、搬運、攜帶、運送	verb		初級		1
350	cartoon	卡通	noun		初級		2
351	case	箱、盒、容器；案件、案例	noun		初級		1
352	cash	現金；兌現	noun/verb		初級		2
353	castle	城堡、堡壘	noun		初級		2
354	cat	貓、貓科動物	noun		初級		1
355	catch	接球；捕獲量	noun		初級		1
356	catch	接住、捕捉；罹患、染病；聽見、聽清楚；趕上(交通工具)、追上	verb/noun		初級		1
357	cause	導致、由於；原因、理由	verb/noun		初級		2
358	CD	光碟	noun	= compact disk	初級		
359	ceiling	天花板	noun		初級		2
360	celebrate	慶祝、祝賀、讚揚	verb		初級		1
361	cell	細胞；手機；小房間、牢房	noun	手機 = cellphone	初級		2
362	cellphone	手機	noun	=cell-phone, cell, mobile phone, mobile	初級		1
363	cent	分(貨幣單位)	noun		初級		1
364	center	中心點、中心區、活動中心；集中、使置中	noun/verb	= centre (British English)	初級		1
365	centimeter	公分	noun	= centimetre (British English)；=cm.	初級		2
366	central	中心的	adj.		初級		2
367	century	一百年、世紀	noun		初級		2
368	cereal	穀物、穀類食物	noun		初級		2
369	certain	肯定的、確定的、必然的	adj.		初級		1
370	certainly	必定、當然	adv.		初級		
371	chair	椅子	noun		初級		1
372	chair	主持人、主席、系主任；擔任主席、主持	noun/verb		初級		1
373	chairperson	主席、董事長	noun	= chair, chairman, chairwoman	初級		4
374	chalk	粉筆；用粉筆書寫	noun/verb		初級		2
375	chance	機會、可能性、巧合	noun		初級		1
376	change	改變；零錢	noun		初級		1
377	change	改變；交換、兌換	verb		初級		1
378	channel	電視頻道、渠道、管道、途徑	noun		初級	L7	2
379	chapter	章節	noun		初級	L2	2
380	character	角色、人物；個性、特徵	noun		初級		2
381	charge	費用；指控、控告；職責、責任；充電量、電荷	noun		初級		2
382	charge	收費；指控、控告；指示、吩咐；充電	verb		初級		2
383	chart	圖表	noun		初級	L8	2
384	chase	追趕、追捕、追求	verb		初級		2
385	chat	聊天	verb/noun		初級		3
386	cheap	便宜的、價低質劣的；便宜地、廉價地	adj./adv.		初級		1
387	cheat	欺騙、作弊；欺騙手段、騙子	verb/noun		初級		2
388	check	支票；帳單；檢查、核對；鉤號	noun	支票 = cheque (British English)	初級		1
389	check	檢查、核對；打勾	verb		初級		1
390	cheer	歡呼、鼓舞；歡呼聲、歡樂	verb/noun		初級		2
391	cheese	起司、乳酪	noun		初級		1
392	chemical	化學製品；化學的	noun/adj.		初級	L7	2
393	chess	西洋棋	noun		初級		2
394	chicken	雞肉、雞	noun		初級		1
395	chief	首要的、最主要的、首席的；領導人、首領	adj./noun		初級		2
396	child	小孩、兒童	noun		初級		1
397	childhood	童年、孩童時期	noun		初級		2
398	childish	孩子氣的、稚嫩的、幼稚的	adj.		初級		2
399	childlike	孩子般的、天真無邪的	adj.		初級		
400	chin	下巴	noun		初級		3
401	China	中國	noun		初級		2
402	Chinese	中文、中國人；中國的、中國人的	noun/adj.		初級		
403	chocolate	巧克力	noun		初級		1
404	choice	選擇、選項；優質的、上等的	noun/adj.		初級		1
405	choose	選擇、挑選	verb		初級		1
406	chopstick	筷子	noun		初級		2
407	Christmas	聖誕節	noun	= Xmas	初級		
408	chubby	圓胖的	adj.		初級		5
409	church	教堂、教會	noun		初級		1
410	circle	圓形、圓圈、圈子；畫圓圈、圈出、盤旋	noun/verb		初級		1
411	citizen	公民、居民	noun		初級		3
412	city	城市	noun		初級		1
413	claim	說法、斷言；權利、所有權	noun		初級		2
414	claim	聲稱、主張；認領、索取；索款、索賠	verb		初級		2
415	clap	拍手、鼓掌	verb/noun		初級		2
416	class	課、班級	noun		初級		1
417	class	階級、等級；把...歸類、把...分級	noun/verb		初級		1
418	classic	古典的、典型的、經典的；經典作品、名著	adj./noun		初級	L7	2
419	classical	古典的、經典的、傳統的	adj.		初級	L7	2
420	classmate	同班同學	noun		初級		2
421	classroom	教室	noun		初級		
422	clean	完全的、徹底的；完全地、徹底地	adj./adv.		初級		1
423	clean	乾淨的、清潔的；清潔、打掃；清潔、打掃	adj./verb/noun		初級		1
424	clear	清楚的、清晰的；暢通的、無阻礙的；不接觸的、不靠近的	adj.		初級		1
425	clear	不觸及地、不靠近地	adv.		初級		1
426	clear	清除、清掃；使變清楚、使清晰	verb		初級		1
427	clerk	店員、職員	noun		初級		1
428	clever	聰明的、機靈的、精巧的	adj.		初級		2
429	click	點按(滑鼠)	verb/noun		初級		2
430	climate	氣候	noun		初級		2
431	climb	上升、晉升、上漲、增長	verb		初級		1
432	climb	爬、攀登	verb/noun		初級		1
433	clock	時鐘	noun		初級		1
434	close	親密的、密切的	adj.		初級		
435	close	(空間或時間上)靠近、接近	adj./adv.		初級		
436	close	關閉(門窗)、合攏；(商點或場所)關門、不開放、停業	verb		初級		
437	close	結束、停止；結局、結尾	verb/noun		初級		
438	closet	衣櫥、壁櫥	noun		初級		3
439	clothes	衣服	noun		初級		1
440	cloudy	多雲的、陰天的	adj.		初級		2
441	club	俱樂部、社團	noun		初級		1
442	coach	教練；培訓、指導	noun/verb		初級		3
443	coast	海岸	noun		初級		2
444	coat	外套、大衣	noun		初級		1
445	cockroach	蟑螂	noun	= roach	初級		2
446	coffee	咖啡	noun		初級		1
447	coin	硬幣	noun		初級		2
448	Coke	可口可樂	noun		初級		2
449	cola	可樂	noun	= Coke	初級		2
450	cold	冷的、冷淡的；寒冷、感冒	adj./noun		初級		1
451	collect	收集	verb		初級		1
452	collection	收藏品、收集	noun		初級		3
453	college	大學、學院	noun		初級		2
454	color	顏色；著色	noun/verb	= colour (British English)	初級		1
455	colorful	色彩豐富的	adj.	= colourful (British English)	初級		3
456	comb	梳子；梳理	noun/verb		初級		2
457	come	來	verb		初級		1
458	comfortable	舒適的	adj.		初級		1
459	comic	滑稽的、好笑的	adj.		初級		2
460	comic	漫畫	noun		初級		2
461	command	命令、指揮、掌握	verb/noun		初級		2
462	comment	評論	noun/verb		初級	L3	4
463	common	常見的、共同的	adj.		初級		1
464	company	公司；陪伴	noun		初級		2
465	compare	比較	verb		初級		2
466	complain	抱怨	verb		初級		3
467	complete	完成、使完整；完全的、完整的	verb/adj.		初級		2
468	computer	電腦	noun		初級		1
469	concern	擔心、關心	noun/verb		初級		2
470	confident	自信的	adj.		初級		2
471	confirm	確認	verb		初級	L7	3
472	conflict	衝突	noun		初級	L5	2
473	Confucius	孔子	noun		初級		
474	confuse	使…困惑	verb		初級		3
475	congratulation	祝賀	noun		初級		2
476	consider	考慮、認為	verb		初級		2
477	contact	聯繫、接觸;聯繫	noun/verb		初級	L5	2
478	contact lens	隱形眼鏡	noun		初級		
479	contain	包含	verb		初級		2
480	continue	繼續	verb		初級		2
481	contract	合約；訂約	noun/verb		初級	L1	2
482	control	控制	noun/verb		初級		2
483	convenience store	便利商店	noun		初級		
484	convenient	方便的	adj.		初級		1
485	conversation	對話	noun		初級		2
486	cook	烹調；廚師	verb/noun		初級		1
487	cookie	(甜)餅乾	noun		初級		1
488	cool	涼快的、酷的；使冷卻	adj./verb		初級		1
489	copy	副本；複製	noun/verb		初級		1
490	corn	玉米	noun		初級		2
491	corner	角落、轉角	noun		初級		1
492	correct	正確的；改正	adj./verb		初級		1
493	cost	費用、成本；花費	noun/verb		初級		1
494	cotton	棉	noun		初級		3
495	couch	沙發	noun		初級		1
496	cough	咳嗽	verb/noun		初級		3
497	could	can的過去式	aux.		初級		
498	count	數、計算；計數、計算	verb/noun		初級		1
499	country	國家；鄉下	noun		初級		1
500	countryside	鄉間	noun		初級		2
501	county	縣、郡	noun		初級		3
502	couple	一對、幾個、一對情侶或夫妻	noun		初級	L7	2
503	courage	勇氣	noun		初級		2
504	course	課程	noun		初級		1
505	court	法庭；球場	noun		初級		2
506	cousin	堂(表)兄弟姊妹	noun		初級		1
507	cover	遮蓋、涵蓋；覆蓋物、封面	verb/noun		初級		1
508	cow	母牛	noun		初級		1
509	crab	螃蟹	noun		初級		3
510	crayon	蠟筆	noun		初級		2
511	crazy	瘋狂的	adj.		初級		1
512	cream	鮮奶油、奶霜；乳霜、護膚霜	noun		初級		2
513	create	創造	verb		初級	L1	2
514	credit card	信用卡	noun		初級		
515	crime	罪行	noun		初級		2
516	crisis	危機	noun		初級		2
517	cross	十字架、十字形	noun		初級		1
518	cross	穿越、交叉	verb		初級		1
519	crowd	人群	noun		初級		2
520	crowded	擁擠的	adj.		初級		
521	cruel	殘酷的	adj.		初級		3
522	cry	哭泣、喊叫	verb/noun		初級		1
523	culture	文化	noun		初級	L2	2
524	cup	杯子	noun		初級		1
525	cure	有療效的藥物、治療方法；治癒	noun/verb		初級		2
526	curious	好奇的	adj.		初級		2
527	current	當前的	adj.		初級		2
528	current	水流、氣流、電流	noun		初級		2
529	curtain	窗簾、幕布	noun		初級		2
530	curve	曲線；使彎曲	noun/verb		初級		4
531	custom	習俗	noun		初級		2
532	customer	顧客	noun		初級		2
533	cut	切、割、修剪；割傷	verb/noun		初級		1
534	cute	可愛的	adj.		初級		1
535	dad	爸爸	noun	= daddy= papa	初級		
536	daily	每日的；每日地	adj./adv.		初級		2
537	damage	損害	noun/verb		初級		2
538	dance	跳舞	verb/noun		初級		1
539	danger	危險	noun		初級		2
540	dangerous	危險的	adj.		初級		1
541	dark	黑暗；黑暗的、深色的	noun/adj.		初級		1
542	data	資料	noun	datum (singular form)	初級	L1	2
543	date	日期、約會；寫日期、約會	noun/verb		初級		1
544	daughter	女兒	noun		初級		1
545	dawn	黎明；破曉	noun/verb		初級		3
546	day	天、白天	noun		初級		1
547	dead	死亡的	adj.		初級		1
548	deaf	聾的	adj.		初級		2
549	deal	交易、協議	noun		初級		1
550	deal	做生意、買賣；處理；分發、發牌	verb		初級		1
551	dear	親愛的；親愛的；哎呀	adj./noun/interj.		初級		1
552	death	死亡	noun		初級		1
553	debate	辯論	noun/verb		初級	L4	2
554	debt	債、負債	noun		初級		2
555	December	十二月	noun	= Dec.	初級		
556	decide	決定	verb		初級		1
557	decision	決定	noun		初級		2
558	decorate	裝飾	verb		初級		3
559	decrease	減少	verb/noun		初級		3
560	deep	深的；深地	adj./adv.		初級		1
